Property_Type,Energy_Rating,Energy_Score,Gross_Floor_Area_Buildings_SQ_FT,No_of_Buildings,Electricity_Use_kBtu,Natural_Gas_Use_kBtu,District_Steam_Use_kBtu,District_Chilled_Water_Use_kBtu,Site_EUI_kBtu_per_sq_ft,Source_EUI_kBtu_per_sq_ft,Weather_Normalized_Site_EUI_kBtu_per_sq_ft,Weather_Normalized_Source_EUI_kBtu_per_sq_ft,Total_GHG_Emissions_Metric_Tons_CO2e,GHG_Intensity_kg_CO2e_per_sq_ft
Medical Office,3,66,675000,1,68905067,238235.3,0,0,102.4,286.2,103.9,290.3,9854.1,14.6
Office,3.5,80,870368,1,20845958.6,33918906.7,0,0,62.9,108,67.6,112.9,4779,5.5
Office,4,82,2462640,1,43990779.5,52410700.5,0,56373814,62,93.2,61.4,92.9,12037.8,4.9
Office,3,67,1474508,1,52225334.4,57305196.1,0,0,77.4,145.9,81.3,149.9,10502.9,7.4
Office,3.5,71,1454157,1,69575286.2,0,0,0,55.7,156,56.7,158.7,9937.2,8
Office,3.5,80,496607,1,48235546.4,0,0,0,102.3,286.5,104,291.1,6889.3,14.6
Office,4,85,821861,1,21559227,24487399.3,0,0,56,104.7,60,108.9,4379.9,5.3
Office,4,83,580000,1,13785408.1,32740272.3,0,10871135.7,99,142.9,102.2,146.7,4280.8,7.4
Office,3,67,776691,1,32782270.8,0,0,0,42.2,118.2,44.2,123.7,4682.2,6
Office,3,69,337879,1,17911645.4,0,0,0,53,148.4,53.7,150.2,2558.3,7.6
Multifamily Housing,4,72,63753,1,839669.3,2817177.7,0,0,69.7,101.1,73.9,104.1,269.6,5.1
Office,4,72,433339,1,12021004.9,19593529.9,0,0,101.7,174.5,99.5,172.2,2757.6,8.9
Multifamily Housing,3,62,89000,1,1462770.5,7179126.8,0,0,97.1,130.7,103.7,136.3,590.2,6.6
Office,3.5,72,445973,1,17945345.8,0,0,0,40.2,112.7,42.4,118.6,2563.1,5.7
Office,3.5,79,372137,1,7970817.6,12964338.9,0,7993883.9,77.7,116.1,78.9,117.9,2248.3,6
Office,2.5,55,347691,1,19688690.1,8172346.3,0,0,80.1,183.2,82,183.5,3246.1,9.3
Office,4,91,393838,1,18650029.5,0,0,0,47.4,132.6,48.2,135,2663.7,6.8
Office,4,83,329845,1,11753640.5,2104202.9,0,0,49.1,124.4,50.1,125.5,1790.5,6.3
Hotel,4,89,326000,1,9400118,12438086.1,0,7467456,89.9,141.6,89.7,141.9,0,0
Hotel,3,47,390430,1,13200059,20391195.1,0,0,86,149.5,88.7,152.3,2968.4,7.6
Office,4,81,359409,1,10412799.6,11612218.1,0,0,61.3,115,65.5,118.6,2104,5.9
Hotel,4,83,300000,1,9443071.7,14294799.9,0,0,79.1,138.2,84.1,143.4,2108,7
K-12 School,3,70,180000,1,2759400.7,7929967.1,0,0,64.8,97.3,70.6,103.4,815.3,4.9
Office,2.5,58,130007,1,6855383.6,1475073.3,0,0,64.1,159.6,65.5,161.1,1057.5,8.1
Office,3,66,1881319,1,98072753.8,40386407.5,0,45320634.8,98.2,191.5,98.8,195,19501.2,10.4
Multifamily Housing,3.5,75,59040,1,1141995.4,2415409.2,0,0,60.3,97.1,64,100.4,291.4,4.9
Multifamily Housing,4,95,255100,1,4235922.9,5843788.2,0,0,44.6,79.7,46.7,81.2,915.4,4.1
Multifamily Housing,4,96,62825,1,497743.2,2896910.8,0,0,66.8,87.3,71.4,91.7,225,4.4
Multifamily Housing,2.5,52,55574,1,873642.6,3392776.7,0,0,82.7,116.5,88.1,120.4,305,5.9
Multifamily Housing,4,89,52080,1,566023.8,2617941.3,0,0,61.1,83.2,64.4,85.6,219.9,4.2
Multifamily Housing,4,94,142073,1,3927583.9,0,0,0,32.5,90.9,34.1,95.4,561,4.6
Multifamily Housing,1,1,65918,1,4950576.6,2758599.7,0,0,126.6,275.1,129.9,278.6,853.6,14
Multifamily Housing,3.5,80,78709,1,1864491.8,1703570.3,0,0,45.3,89.1,48.2,94.3,356.8,4.5
Multifamily Housing,4,97,81300,1,951146.2,3818669.2,0,0,65.6,91.8,70.5,96.2,338.7,4.7
Multifamily Housing,1.5,34,66762,1,1103363.3,4872576.3,0,0,95.2,130.7,102.4,138.2,416.4,6.6
Multifamily Housing,2,45,77310,1,1229096.9,5025655.8,0,0,87.7,122.3,93.5,126.6,442.5,6.2
Multifamily Housing,4,88,52304,1,517473.8,2843456.5,0,0,64.3,84.8,68.2,88.3,224.9,4.3
Multifamily Housing,2.5,52,54089,1,891326.7,3249650.2,0,0,81.9,116.8,87.2,121.1,299.9,5.9
Multifamily Housing,2,49,60127,1,973363.8,3659126.4,0,0,84.3,119.6,91.1,125.9,333.4,6.1
Multifamily Housing,4,64,62663,1,927302.1,3468290.3,0,0,76,107.8,80.4,111.7,316.7,5.5
Multifamily Housing,2,42,55296,1,809845,4688550.1,0,0,99.4,130,109,139.3,364.7,6.6
Multifamily Housing,4,73,52400,1,899293,2544304.7,0,0,65.7,99,67.6,99.1,263.6,5
Multifamily Housing,4,82,101700,1,1265022.9,4761242.2,0,0,67.7,96,72.4,100.2,433.6,4.9
Multifamily Housing,4,84,71532,1,655479,3953280.7,0,0,64.4,83.7,69.5,89.1,303.6,4.2
Multifamily Housing,4,95,50100,1,542502.9,3076453.5,0,0,72.2,94.8,79.6,102.1,240.9,4.8
Multifamily Housing,4,70,51840,2,485357,3144279.4,0,0,70,89.9,78.3,98.2,236.3,4.6
Office,1.5,34,16333,1,1063315.7,91108.8,0,0,70.7,188.1,70.7,188.1,156.7,9.6
Multifamily Housing,4,84,75815,1,969415.4,4202188.4,0,0,85,117.2,90.5,121.4,361.7,5.9
Multifamily Housing,1,9,48321,1,595392.6,5796695,0,0,132.3,160.5,131.7,158.7,392.9,8.1
Multifamily Housing,3.5,78,36390,1,804037.1,1275215.4,0,0,57.1,98.7,59.3,100.9,182.6,5
Multifamily Housing,2,45,62593,1,911671.4,4346956.7,0,0,89.7,121.5,96.4,127.2,361.1,6.2
Multifamily Housing,4,96,82550,1,1857971.5,2197682.1,0,0,49.1,91,49.4,91.9,382.1,4.6
Multifamily Housing,4,73,69972,1,1282370.5,4614696.4,0,0,97.5,139.5,104,143.6,428.3,7.1
Multifamily Housing,3.5,72,38456,1,1050466.1,2102813.5,0,0,82,133.9,82.9,134.9,261.7,6.8
Multifamily Housing,4,84,90000,1,2435175.1,0,0,0,37.5,104.9,38.9,109,347.8,5.4
Multifamily Housing,2.5,34,50139,1,774664.2,5357977,0,0,122.3,155.5,133.5,165.8,395.2,7.9
Multifamily Housing,4,96,79000,1,822382.4,2507851.8,0,0,42.2,62.5,45.2,65.7,250.7,3.2
Multifamily Housing,2.5,59,52237,1,1845748.7,939268.8,0,0,53.3,117.8,56,124.5,313.5,6
Multifamily Housing,2,49,303602,1,5880906.1,22713722,0,0,110,155.1,119,164.6,2046.4,7.9
Multifamily Housing,4,93,91600,1,1081685.9,4712093.3,0,0,63.3,87.1,69.6,93.7,404.8,4.4
Multifamily Housing,4,88,112480,1,728912.4,4742400.3,0,0,53.9,69.1,58.3,73,356,3.5
Multifamily Housing,4,81,67368,1,693708.7,4005196.3,0,0,69.7,91.3,76.8,97.9,311.8,4.6
Multifamily Housing,2,43,571833,8,7729398.1,44210999.6,0,0,111.8,146.5,117.1,152.1,3452.2,7.4
Multifamily Housing,4,89,59960,1,743850.1,3306776.7,0,0,73,100.2,78.4,105,281.9,5.1
Multifamily Housing,4,86,65806,1,990650.3,3860570.3,0,0,73.7,103.8,79.4,108.7,346.5,5.3
Multifamily Housing,1,24,50291,1,744300.5,5148197.6,0,0,117.2,148.9,126.4,158.6,379.8,7.6
Multifamily Housing,1,2,137730,2,3033315.1,20182833.6,0,0,168.6,215.5,167.4,212.2,1505.2,10.9
Multifamily Housing,4,99,68136,1,882641.4,2351592.3,0,0,47.5,72.5,49.7,73.8,251,3.7
Multifamily Housing,2.5,53,147000,1,1743941.4,16122974.6,0,0,121.5,148.4,133.1,160.4,1105.4,7.5
Multifamily Housing,2.5,56,51008,1,1846499.3,992983.5,0,0,55.7,121.8,58.5,129,316.5,6.2
Multifamily Housing,1,10,115973,1,2770230.1,11940500.1,0,0,147.6,203.6,161.2,216.1,1029.9,10.3
Multifamily Housing,3.5,77,53976,1,606012.1,3601670.3,0,0,78,101.5,82.6,105.4,277.9,5.1
Residence Hall/Dormitory,4,89,56200,1,974925.8,2435199.9,0,0,60.7,94.1,66.5,100.2,268.6,4.8
Multifamily Housing,4,87,129149,1,941046.7,9078070.2,0,0,82.2,99.8,88.7,106,616.6,5.1
Multifamily Housing,1,22,52624,1,2953990.2,1538159,0,0,85.4,187.9,86.5,188.3,503.6,9.6
Multifamily Housing,2.5,54,101893,1,3409218.9,4265800.1,0,0,75.3,137.6,77.6,137.5,713.5,7
Multifamily Housing,4,90,63200,1,1134633.3,5218954.2,0,0,100.5,137,106.1,140.6,439.3,7
Multifamily Housing,3,45,50736,1,862894.5,3501840.7,0,0,86,120.1,91.9,124.7,309.2,6.1
Multifamily Housing,4,83,89650,1,2806775,1262082.6,0,0,45.4,102.4,46.3,104.2,467.9,5.2
Multifamily Housing,1,23,70720,1,1069499.9,4794600.6,0,0,95,130.1,103.1,137.3,407.4,6.6
Multifamily Housing,4,81,80064,1,799525.8,3977083.6,0,0,59.7,80.1,63.4,82.8,325.4,4.1
Multifamily Housing,1,19,190893,1,4776803.4,14649022.7,0,0,101.8,150.6,108.6,157,1460.3,7.7
Multifamily Housing,4,63,72115,1,3251127.6,1145016,0,0,61,142.9,62.4,146.1,525.2,7.3
Multifamily Housing,4,94,79152,1,1264752.7,6718000.1,0,0,100.9,133.9,108.3,140.9,537.5,6.8
Multifamily Housing,4,95,131462,1,2151555.7,3963540.5,0,0,46.5,77.5,48.1,78.1,517.8,3.9
Multifamily Housing,4,73,94261,1,2493148.4,2888300.3,0,0,57.1,106.2,58.9,107.7,509.5,5.4
Multifamily Housing,1,24,56098,1,1265004.8,5078600.1,0,0,124.6,174.4,134.8,183.3,450.4,8.8
Multifamily Housing,2.5,59,91524,1,1619978.7,6601078.6,0,0,89.8,125.3,94.7,129.6,582,6.4
Multifamily Housing,1.5,34,115533,1,2618723.6,9371651.3,0,0,103.8,148.6,110.9,154.1,871.8,7.5
Multifamily Housing,4,95,79250,1,2504589.9,3681903.7,0,0,78.1,137.3,80.6,141.1,553.3,7
Multifamily Housing,1.5,40,84486,1,1200624.5,8231495.6,0,0,111.6,142.1,120.7,150.3,608.7,7.2
Multifamily Housing,4,95,55360,1,1532270.2,1438422.2,0,0,53.7,104.8,56.4,110.7,295.3,5.3
Multifamily Housing,4,82,65419,1,1338983.8,4136524.2,0,0,83.7,123.7,90.4,130,411,6.3
Multifamily Housing,4,91,127425,1,1785197.6,7462607,0,0,72.6,100.7,78.2,105.4,651.3,5.1
Office,1.5,34,431390,1,16855542.7,6049015.7,0,0,99.1,231.6,101.4,234,2728.7,11.8
Multifamily Housing,1,26,78900,1,1782510.7,4893096.5,0,0,91.6,138.9,96.7,142.6,514.5,7.1
Multifamily Housing,4,79,118890,1,1871751.5,8008261.9,0,0,83.1,114.8,88.9,120.9,692.7,5.8
Hotel,2.5,38,76800,1,2927970.3,3811590.2,0,0,87.8,158.9,91.4,162.7,620.6,8.1
Multifamily Housing,2.5,51,51628,1,1854606.2,2674386.1,0,0,87.7,155,92.2,159.7,406.9,7.9
Multifamily Housing,4,85,57125,1,2339432.3,1354217.4,0,0,64.7,139.6,67.6,146.1,406.1,7.1
Multifamily Housing,3,63,52604,1,1017817,3763118.7,0,0,90.9,129.3,98.6,137.4,345.2,6.6
Multifamily Housing,4,95,51480,1,1451353.2,1389915.6,0,0,55.2,107.3,57.4,112,281.1,5.5
Multifamily Housing,4,97,67300,1,509749.4,3451566.7,0,0,58.9,75.1,63.1,79.6,256.1,3.8
Multifamily Housing,2,22,57041,1,2869997.7,1020767.4,0,0,68.2,159.7,71.6,169.1,464.1,8.1
Multifamily Housing,4,95,58321,1,804887.4,3201119.9,0,0,68.7,96.3,75,102.4,285,4.9
Multifamily Housing,3.5,75,90140,1,1516714.2,7518938.4,0,0,100.2,134.7,106.9,140.1,616,6.8
Multifamily Housing,4,100,131500,1,721395.7,3988882.8,0,0,50.1,66,52.9,68.6,314.9,3.4
Multifamily Housing,3,47,124461,1,2853244.1,9766391.4,0,0,115.5,166.9,125.4,177.3,926.3,8.5
Multifamily Housing,4,96,83916,1,1090166.1,4376900.4,0,0,65.1,91.1,69.4,94.8,388.2,4.6
Multifamily Housing,3,44,54738,1,2655620.7,1635444,0,0,78.4,167.2,82.9,178.3,466.2,8.5
Multifamily Housing,4,91,67346,1,630887.7,3483855,0,0,78.6,103.6,84.8,110.1,275.2,5.3
Multifamily Housing,4,85,224511,1,2781786.9,11439500.1,0,0,74,103,81.2,110.6,1004.9,5.2
Multifamily Housing,3.5,76,98470,1,1283431.3,6868556.7,0,0,83.5,110.7,91.4,117.9,548.1,5.6
Multifamily Housing,3.5,58,117991,1,1517261.5,7698386.2,0,0,84.6,113.1,91.5,119.8,625.6,5.7
Multifamily Housing,4,91,56439,1,729403.7,3240948.9,0,0,70.3,96.5,76.7,103.2,276.3,4.9
Multifamily Housing,4,80,58400,1,1144869,3221912.7,0,0,74.8,112.8,80.1,117.3,334.6,5.7
Multifamily Housing,4,97,128658,1,1833398.6,9017695.8,0,0,84.3,113.5,90.3,119.7,740.8,5.8
Multifamily Housing,2.5,59,58000,1,3358245.6,2476762.6,0,0,100.6,207,103.2,209.7,611.2,10.5
Multifamily Housing,4,97,158002,1,1233933.8,8071234.2,0,0,58.9,75.5,63.7,79.7,604.9,3.8
Multifamily Housing,4,91,51840,1,540386.8,2548789.2,0,0,59.6,80.8,63.8,85.2,212.6,4.1
K-12 School,2.5,57,140166,2,3459385.9,5169160.2,0,0,61.6,107.8,65,109.7,768.7,5.5
Multifamily Housing,3,63,387000,1,10396797.3,18338640.4,0,0,74.3,125,79.1,130.1,2459,6.4
K-12 School,2.5,51,272432,4,8051470.4,11761090.3,0,0,72.7,128.1,78.1,133.7,1774.7,6.5
Office,4,90,289000,1,8578126.3,10379767.5,0,0,65.6,120.8,70.9,126.4,1776.5,6.1
Multifamily Housing,2,47,70732,1,1408238.9,5541538.1,0,0,98.3,138,106.4,145,495.5,7
Multifamily Housing,4,100,55000,1,49062.4,2358199.9,0,0,48.1,52.3,54,58.5,132.3,2.6
Multifamily Housing,2,42,59768,1,374649.2,4146373.8,0,0,75.6,90.4,85.1,99.9,273.7,4.6
Multifamily Housing,2,43,60120,1,546104.2,4971996.1,0,0,91.8,112.3,101.5,122.4,342.1,5.7
Multifamily Housing,1,21,110000,1,751066.5,10462674.5,0,0,101.9,119,113.3,130.4,663,6
Multifamily Housing,4,98,76937,1,740849.3,1662325.2,0,0,38.7,61.5,40.6,62.8,194.1,3.1
Multifamily Housing,4,98,52272,1,309567.3,2236577.5,0,0,48.7,61.5,52.8,65.3,163,3.1
K-12 School,3.5,80,220787,1,5110381,5386540.2,0,0,47.5,90.4,52.1,97.9,1016,4.6
Multifamily Housing,4,99,345904,1,3944688.3,7506462.7,0,0,41.1,67.9,43.5,69.7,962.1,3.5
Multifamily Housing,1,9,210740,1,6894846.8,15956557.1,0,0,127.5,201.2,134.8,208.8,1832.3,10.2
Multifamily Housing,1,13,121592,1,3264567.5,7446882.4,0,0,123.3,195.2,130.7,201.3,861.8,9.9
Multifamily Housing,2.5,56,32380,1,979316,1460621.9,0,0,75.4,132,74.5,129.7,217.5,6.7
Multifamily Housing,3.5,52,60000,1,1299961.8,2643489,0,0,69.2,112.6,72.3,115.1,326.1,5.7
Multifamily Housing,3,68,1050816,1,19216066.7,43951377.4,0,0,78.1,123.6,82.7,127.4,5079,6.3
Multifamily Housing,2.5,35,250000,1,5960566.1,11619449.7,0,0,70.3,115.6,74.7,119.2,1468.5,5.9
Multifamily Housing,4,100,73000,1,1443566,27453.7,0,0,20.2,55.8,19.6,54.1,207.6,2.8
Multifamily Housing,4,87,90724,1,1397070.4,3585664.7,0,0,60.8,93.7,63.5,95.1,390,4.8
Multifamily Housing,4,93,60000,1,1154529.4,2174607.2,0,0,55.5,91.9,57.7,93.3,280.4,4.7
Multifamily Housing,4,82,88788,1,201281.9,8217644.7,0,0,94.8,103.5,102.6,111.5,465.2,5.2
Multifamily Housing,4,99,104100,1,888507,3533338.7,0,0,46.5,65.2,50.4,69.6,314.6,3.3
Multifamily Housing,4,89,139707,1,2259244.9,6450051.3,0,0,62.3,93.8,67.1,98.8,665.3,4.8
Multifamily Housing,4,89,134082,1,1551801.1,6860900.5,0,0,64.8,89,71.2,95.7,586.1,4.5
Multifamily Housing,4,98,147700,1,2290157.6,4016174.9,0,0,44.9,75.8,44.3,73.9,540.4,3.9
Multifamily Housing,4,84,118326,1,2737901.4,3029778.2,0,0,48.7,91.7,51,94,552,4.7
Multifamily Housing,4,81,196000,1,2071218.8,11509770.4,0,0,69.3,91.2,75.9,97.2,907.2,4.6
Office,4,93,187747,1,7157570.8,6781755.1,0,0,110.8,216,110.3,214.6,1382.5,11
Multifamily Housing,4,99,87600,1,829410.8,1679254.4,0,0,34.4,56,36.4,57.3,207.7,2.8
Multifamily Housing,1.5,33,78400,1,1254115.1,6346220.2,0,0,96.9,129.8,103.6,135.7,516.2,6.6
Multifamily Housing,4,100,131625,1,1504692,5287080.8,0,0,51.6,74.2,56.1,78.1,495.7,3.8
Multifamily Housing,4,100,84000,1,154993.5,30945.1,0,0,3.3,8.3,3.2,8,23.8,0.4
Multifamily Housing,4,96,169623,1,1729019.1,6648902.9,0,0,63.5,89.6,69.2,94.4,600.1,4.5
Multifamily Housing,3,70,155144,1,2680216.1,6696394.2,0,0,70.8,109.7,75.3,113.5,738.5,5.6
Multifamily Housing,1,24,55000,1,1102856.3,4902228.2,0,0,109.2,149.7,120.7,161.9,417.9,7.6
Multifamily Housing,4,84,140000,1,1762536.8,8312518.6,0,0,72,97.6,78.8,104.8,693.3,5
Multifamily Housing,4,80,139094,1,2088149.5,8528933.1,0,0,76.3,106.4,81.6,110.7,751.3,5.4
Multifamily Housing,4,61,245068,1,8283012.1,11899137.7,0,0,91.6,162,95.9,165.4,1815.1,8.2
Multifamily Housing,3.5,76,75000,1,1451595.5,2792259.1,0,0,56.6,93.3,56.6,93.3,355.6,4.7
Multifamily Housing,1,17,102000,1,2305385.7,11271123,0,0,133.1,179.3,146.4,191.8,927.9,9.1
Multifamily Housing,4,84,76600,1,1877510,2096015.3,0,0,64.8,121.7,67.6,127.6,379.5,6.2
Multifamily Housing,2.5,59,140841,1,1784503.3,10182300.4,0,0,85,111.4,93.8,120.2,795.7,5.6
Multifamily Housing,4,94,70000,1,1383542.1,1428294.6,0,0,40.2,76.8,41.9,80.9,273.5,3.9
Multifamily Housing,1,9,57600,1,1949405.3,5297100,0,0,125.8,191.3,136.6,202.7,559.8,9.7
Multifamily Housing,4,73,80000,1,481563.5,7154700.1,0,0,95.5,110.8,105.5,121.6,448.8,5.6
Multifamily Housing,3.5,75,125600,1,1678185.4,6262499.6,0,0,63.2,89.8,67.6,93.1,572.3,4.6
Senior Living Community,4,99,1742595,1,9556861.9,22056300.7,0,0,18.1,28.6,19.4,29.7,2536.5,1.5
Multifamily Housing,4,68,65072,1,769116,4519324.2,0,0,85.2,111.1,90.8,115.5,349.9,5.6
Multifamily Housing,4,85,148900,1,3423140.2,3718224.2,0,0,55.8,105.5,57.7,106.4,686.4,5.4
Multifamily Housing,3,46,74080,1,884011.7,3432893.8,0,0,86.3,121.6,93.3,127.9,308.6,6.2
Multifamily Housing,4,85,140184,1,2024774.3,4276984.1,0,0,45,72.5,48,75.2,516.4,3.7
Multifamily Housing,1,13,81000,1,3123725.9,2462810.4,0,0,77.6,157.4,79,161.3,577,8
Multifamily Housing,4,89,77000,1,1254664.1,2426900.4,0,0,59.9,98.6,62.8,100.1,308.1,5
Multifamily Housing,4,99,75706,1,569437.2,2638974.5,0,0,51,69.4,55.3,73.2,221.5,3.5
Multifamily Housing,4,84,161250,1,3897353.6,4221374.5,0,0,50.3,95.2,53.2,99.2,780.9,4.8
Multifamily Housing,2,47,80626,1,2143775,4444119.2,0,0,81.7,132.3,85.6,134.8,542.2,6.7
Multifamily Housing,3.5,76,88776,1,1715860.7,4456123.2,0,0,69.5,106.8,73.1,109,481.8,5.4
Multifamily Housing,2.5,55,77280,1,1149987.3,5621146.2,0,0,87.6,118,94.3,123.9,462.8,6
Multifamily Housing,4,88,120150,1,2730958.7,1690642.8,0,0,41.3,88.1,42.7,90.6,479.9,4.5
Multifamily Housing,4,68,105000,1,3787811.3,1836437.4,0,0,54.9,122.3,56.9,126.8,638.5,6.2
Multifamily Housing,3,43,166700,1,4151353.1,7505087.3,0,0,77.2,129.2,80.7,130.4,991.6,6.6
Multifamily Housing,4,89,63968,1,1429941.9,0,0,0,27.8,77.8,29.5,82.5,204.2,4
Multifamily Housing,4,64,167500,1,6583078.7,1087006.4,0,0,47.5,121.2,50.2,128.5,998,6.2
Multifamily Housing,1,25,79118,1,3096411.2,2240066,0,0,79,163.1,84.5,173.4,561.2,8.3
Multifamily Housing,2,46,198780,1,4339309.9,13402680.6,0,0,97.7,144.3,105.7,151.9,1331.6,7.3
Multifamily Housing,4,96,138636,1,2046606.3,6297280.1,0,0,60.2,89,65.4,93.8,626.8,4.5
Multifamily Housing,1,13,160528,1,5863750.6,5781202.2,0,0,76.9,148.4,80.9,154.7,1144.6,7.6
Multifamily Housing,1,15,96384,1,1744971.9,8487654.7,0,0,106.2,143.2,114.5,150.8,700,7.3
Multifamily Housing,3,66,117600,1,1917193.2,6554498.8,0,0,76.9,111.3,76.9,111.3,622,5.6
Multifamily Housing,4,70,108547,1,2818558,2975775.5,0,0,57.6,109.6,57.6,109.6,560.6,5.6
Multifamily Housing,3.5,79,97000,1,1204785,5874875.7,0,0,73,98.4,78.7,103.3,484.1,5
Multifamily Housing,3,44,105275,1,3913922.3,2482574.4,0,0,67,142.1,71.3,149.3,690.9,7.2
Multifamily Housing,4,95,97000,1,1573515.1,2880289.7,0,0,55.7,92.9,58.7,95,377.7,4.7
Multifamily Housing,4,95,93360,1,1594328.7,3167877.8,0,0,51,83.4,54.4,87,396,4.2
Multifamily Housing,4,87,216260,1,3180562.7,7944728.1,0,0,57.2,88.7,60.7,91.6,876.3,4.5
Multifamily Housing,1,19,58012,1,2651714.3,953769.5,0,0,69.6,162.6,74.2,173,429.4,8.3
Multifamily Housing,3.5,71,91100,1,1436260.6,5265534.7,0,0,88.6,126.3,96.1,132.4,484.8,6.4
Multifamily Housing,3.5,60,169733,1,3034885.3,10550460.8,0,0,80,115.3,86.8,121.2,993.8,5.9
Multifamily Housing,2.5,54,240000,0,7717022.8,5251918.3,0,0,54,113,55,112.1,1381.1,5.8
Multifamily Housing,4,94,197400,1,2200647.9,10160714.2,0,0,62.6,85.3,68.2,90.5,854,4.3
Multifamily Housing,4,97,449107,1,8029855.4,4577299.5,0,0,32.2,69.7,32.4,68.2,1390,3.6
Multifamily Housing,4,96,147868,1,2346518,3086618.3,0,0,42.8,77.4,42.2,75.6,499.1,3.9
Multifamily Housing,1.5,33,111239,1,943168.6,12307075.2,0,0,119.1,139.9,130.6,152,788.4,7.1
Multifamily Housing,3.5,77,463764,1,7267536.1,24801783.8,0,0,82.5,119.3,87.5,123.7,2355.3,6.1
Multifamily Housing,2.5,57,138000,1,4157624.4,4035976.2,0,0,68.3,132.3,69.3,135.1,808.2,6.7
Multifamily Housing,4,99,105000,1,1196360.5,3917575.6,0,0,48.7,71.1,52.1,74.2,379,3.6
Multifamily Housing,2,50,104400,1,2204494.2,7064458.4,0,0,88.8,130.2,94.9,135,690.1,6.6
Multifamily Housing,3.5,56,154000,1,5528497.7,1649295,0,0,55.8,133.7,57.2,137.9,877.2,6.8
Multifamily Housing,3.5,54,115200,1,2571525.5,5341869,0,0,73.8,119.5,78.6,123.3,651,6.1
Multifamily Housing,3.5,75,83825,1,1009047.8,4639366.7,0,0,79,107.7,86.4,114.6,390.5,5.5
Multifamily Housing,3.5,77,56838,1,865051.2,3015824.5,0,0,68.3,98.3,73,102.1,283.7,5
Multifamily Housing,4,85,81250,1,1579486.5,3960565.2,0,0,76.9,119.2,81.8,122.4,436,6.1
Multifamily Housing,2.5,40,245006,1,4896752.3,15852500.4,0,0,95.4,139.6,100.7,145.1,1541.4,7.1
Multifamily Housing,3,66,59677,1,769791.6,5069568.4,0,0,97.8,125.3,105.8,132.1,379.2,6.4
Multifamily Housing,2.5,59,186552,1,2755473.2,10397073.6,0,0,84.4,119.6,92.4,126.7,945.8,6.1
Multifamily Housing,3.5,73,114900,1,841901.1,9454590.2,0,0,95,113.3,103.8,122.6,622.4,5.7
Multifamily Housing,4,82,186095,1,1717453.4,13127464.3,0,0,79.8,99.9,79.4,99,942.6,5.1
Multifamily Housing,3.5,53,61800,1,495473.6,4708946.4,0,0,84.2,102.5,92.6,110.4,320.9,5.2
Multifamily Housing,4,90,54224,1,234612.5,3347222.5,0,0,66.1,76.9,71.4,82,211.3,3.9
Multifamily Housing,4,70,66143,1,2449662.5,0,0,0,44.8,125.4,48.9,136.8,349.9,6.4
Multifamily Housing,2.5,53,97055,1,1704379.3,6322929.5,0,0,95.9,136.3,104.1,143.8,579.3,6.9
Multifamily Housing,1,10,60000,1,3498811.5,2481175.8,0,0,99.7,206.7,104.3,217.9,631.5,10.5
Multifamily Housing,3.5,54,147000,1,1208796.5,11384393.3,0,0,85.7,104.3,94.6,113.3,777.3,5.3
Multifamily Housing,3.5,80,146840,1,1621140.1,9483728.5,0,0,75.6,98.7,82.5,105,735.3,5
Multifamily Housing,4,84,77680,1,504401.8,3641999.8,0,0,53.4,67.4,58.8,72.8,265.5,3.4
Multifamily Housing,1.5,37,114400,1,1747078.4,7377350.5,0,0,79.8,110.5,87.2,118.2,641.4,5.6
Multifamily Housing,4,70,83000,1,1441297.7,5727542.2,0,0,101.5,142.3,108.6,149,510.1,7.2
Multifamily Housing,4,95,76000,1,1267413.3,2380525.4,0,0,60,99.5,63.1,101.4,307.5,5.1
Multifamily Housing,4,92,51330,1,744153.8,3270477.7,0,0,78.2,107.5,84.8,114.4,280,5.5
Multifamily Housing,3.5,58,140200,1,6409090.6,2813190.1,0,0,65.8,149.1,68.6,155.6,1064.8,7.6
Multifamily Housing,4,93,230247,1,2738769.4,8807060.8,0,0,58.3,85.4,62.5,89,859,4.3
Senior Living Community,3.5,60,97974,1,1854514.1,5976199.8,0,0,93.6,137.1,99.4,141.7,582.3,7
Multifamily Housing,3.5,75,76000,1,1790653.1,2528679.6,0,0,71,126.1,74.4,128,390.1,6.4
Multifamily Housing,4,82,78753,1,2078242.7,2009676.5,0,0,51.9,100.7,55.1,107,403.6,5.1
Multifamily Housing,4,83,125000,1,2154465.1,4929930.2,0,0,56.7,89.7,59.8,91.7,569.6,4.6
Multifamily Housing,3.5,80,52872,1,664968.4,3519180.1,0,0,79.1,105.1,86.2,112,281.9,5.3
Multifamily Housing,4,73,99300,1,2633565.8,1099564.2,0,0,43.3,98.8,46.2,106.4,434.5,5
Multifamily Housing,2.5,58,102457,1,3592020.5,2763230,0,0,62,126.5,64,129.9,659.8,6.4
Multifamily Housing,4,63,471954,1,10649513.9,7293940.1,0,0,48.8,101.9,50.6,103.7,1908.4,5.2
Senior Living Community,1,26,107394,1,4639265.7,6566036.1,0,0,139,246.6,144.4,250.1,1011.4,12.5
Senior Living Community,2.5,33,60000,1,1823656,3775000.3,0,0,93.3,151.2,98.6,155.4,461,7.7
Multifamily Housing,3.5,53,81994,1,1348262,5298890.5,0,0,97.4,136.8,105.8,145.7,474,6.9
